name	base_url	customer_id	requestor_id	api_key	platform	is_non_sushi	description	companies
Harvard Education Publishing Group	https://hepgjournals.org/reports	REQUIRED				False		Atypon
Health Affairs	https://www.healthaffairs.org/reports	REQUIRED				False		
HighWire Press	https://hwdpapi.highwire.org/sushi/reports	REQUIRED	REQUIRED	REQUIRED		False	"Requester ID, Customer ID and Api_Key are required. API key is the institution's primary e-mail address associated with the HighWire Portal account, followed by ""|"", and then the portal password. For example, 
API key: user@highwire.org|Us3rPW
Requester ID: user/email account registered with HighWire
Customer ID: user/email account registered with HighWire"	
ICE Virtual Library (Institution of Civil Engineers)	https://www.icevirtuallibrary.com/reports	REQUIRED				False		
IEEE Xplore	https://c5sushi.mpsinsight.com/c5sushi/services/reports	REQUIRED		REQUIRED		False		MPS Insight
IGI Global	https://sushi5.igi-global.com/reports	REQUIRED	REQUIRED			True	As of April 2020 SUSHI server not compliant, use manual download/import	
Inderscience	https://inderscienceonline.com/reports	REQUIRED				False		
INFORMS	https://pubsonline.informs.org/reports	REQUIRED				False		
Ingentaconnect	https://www.ingentaconnect.com/sushiadmin/statistics/sushi/reports	REQUIRED	REQUIRED			False	Ingenta Connect hosts journals for various publishers	
Journal of Neurosurgery (JNS)	https://ams.thejns.org/rest/COUNTER/v5/reports	REQUIRED				False		
Journal of Orthopaedic & Sports Physical Therapy (JOSPT)	https://www.jospt.org/reports	REQUIRED				False		
Journal of Studies on Alcohol and Drugs / Rutgers University Press (JSAD)	https://www.jsad.com/reports	REQUIRED				False		
JSTOR	https://www.jstor.org/sushi/reports	REQUIRED	REQUIRED			False	Books and Journals	
Karger	https://counter.karger.com/reports	REQUIRED				False		
Liverpool University Press	https://online.liverpooluniversitypress.co.uk/reports	REQUIRED				False		
Mark Allen Group	https://www.magonlinelibrary.com/reports	REQUIRED	REQUIRED			False		Atypon
Mary Ann Liebert	https://www.liebertpub.com/reports	REQUIRED	REQUIRED			False		Atypon
MathSciNet (American Mathematical Society)	https://mathscinet.ams.org/counter/r5/reports	REQUIRED		REQUIRED		False		
McGraw-Hill	https://www.mhebooklibrary.com/reports	REQUIRED				False		
MGG Online	https://www.mgg-online.com/mgg/sushi/reports	REQUIRED				False		
Microbiology Society						True	C5 but not sushi yet as of March 2020	
MIT Press	https://www.mitpressjournals.org/reports	REQUIRED	REQUIRED			False		Atypon
Morgan and Claypook Publishers	https://www.morganclaypool.com/reports	REQUIRED				False		
NEJM (New England Journal of Medicine)	https://www.nejm.org/reports	REQUIRED				False		
Newsbank	https://stats.newsbank.com/sushi_r5/servlet/reports	REQUIRED				False		
NRC Press	https://www.nrcresearchpress.com/reports	REQUIRED				False		
OECD iLibrary	https://www.oecd-ilibrary.org/counter5/sushi/reports	REQUIRED				False		
Ovid	https://stats.ovid.com/C5/sushi/reports	REQUIRED	REQUIRED			False		
Oxford (Books)	https://sushi5.scholarlyiq.com/counter/r5/reports	REQUIRED	REQUIRED			False		ScholarlyIQ
Oxford (Journals)	https://sushi5.scholarlyiq.com/counter/r5/reports	REQUIRED	REQUIRED			False		ScholarlyIQ
Philosophy Documentation Centre	https://sushi5.scholarlyiq.com/counter/r5/reports	REQUIRED	REQUIRED			False		ScholarlyIQ
Physical Society of Japan	https://journals.jps.jp/reports	REQUIRED				False		
Project HOPE (Health Affairs)	https://hope.atyponinsights.com/counter5/reports	REQUIRED				False		Atypon
Project MUSE	https://about.muse.jhu.edu/lib/counter5/sushi/reports	REQUIRED		REQUIRED		False		
ProQuest	https://sushi.proquest.com/counter/r5/reports	REQUIRED		REQUIRED		False		
ProQuest Ebook Central	https://pqbi.prod.proquest.com/release/sushi/ebooks/r5/reports	REQUIRED	REQUIRED			True	As of April 2020, SUSHI server not providing reliable data (reported to Project COUNTER) so consider this one non-SUSHI until reported fixed.	
Royal Society	https://royalsocietypublishing.org/reports	REQUIRED				False		
Royal Society of Chemistry	https://c5sushi.mpsinsight.com/c5sushi/services/reports	REQUIRED		REQUIRED		False		
RSNA (Radiological Society of North America)	https://pubs.rsna.org/reports	REQUIRED				False		
SAGE Ebooks (Sage SecureCenter)	https://securecenter.sagepub.com/SushiService/reports		REQUIRED			False		
SAGE Journals	https://journals.sagepub.com/reports	REQUIRED	REQUIRED			False		
Scitation - AIP (American Institute of Physics)	https://www.scitation.org/reports	REQUIRED				False		
SIAM (Society for Industrial and Applied Mathematics)	https://epubs.siam.org/reports	REQUIRED				False		
Society of Exploration Geophysicists	https://library.seg.org/reports	REQUIRED				False		
Springer Nature	https://counter.public.springernature.app/reports	REQUIRED		REQUIRED		False		
Taylor & Francis Ebooks (Books)	https://api.taylorandfrancis.com/v2/counterreports/reports	REQUIRED				False		
Taylor & Francis Online (Journals)	https://www.tandfonline.com/reports	REQUIRED	REQUIRED			False		
UCLA Journals	https://uclajournals.org/reports	REQUIRED				False		
University of Chicago Press	https://www.journals.uchicago.edu/reports	REQUIRED	REQUIRED			False		
University of Toronto Press	https://www.utpjournals.press/reports	REQUIRED	REQUIRED			False		
Vandenhoeck & Ruprecht	https://www.vr-elibrary.de/reports	REQUIRED				False		
Wiley Online Library	https://onlinelibrary.wiley.com/reports	REQUIRED	REQUIRED			False	Books and journals	Atypon
World Bank	https://elibrary.worldbank.org/reports	REQUIRED				False		
World Scientific	https://www.worldscientific.com/reports	REQUIRED				False		
