name	base_url	customer_id	requestor_id	api_key	platform	is_non_sushi	description	companies
CFA Publications						True	Counter 4 only for import conversion; JR5, JR1, PR1	
Chemical Society of Japan	https://www.journal.csj.jp/reports	REQUIRED				False		
Corrosion (The Journal of Science & Engineering)						True	Counter 4 only for import conversion; JR5, JR1GOA, JR1	
CRCnetBase (CRC netBase)						True	Counter 4 only for import conversion; BR2, PR1, BR3	
CREDO	https://search.credoreference.com/reports	REQUIRED	REQUIRED			False		
CSIRO (Commonwealth Scientific and Industrial Research Organisation)	https://sushi5.scholarlyiq.com/counter/r5/reports	REQUIRED	REQUIRED			False		ScholarlyIQ
DeGruyter (Walter De Gruyter)	https:/ams.degruyter.com/rest/COUNTER/v5/reports	REQUIRED			REQUIRED	True	Manual COUNTER 5 import; service@degruyter.com	
DesLibris	https://connect.liblynx.com/sushi/r5/reports	REQUIRED	REQUIRED	REQUIRED		False		LibLynx
Duke University Press (Euclid)	https://sitemaster.read.dukeupress.edu/sushi/reports	REQUIRED	REQUIRED	REQUIRED		False		
Duncker & Humblot	https://elibrary.duncker-humblot.com/sushi/reports	REQUIRED	REQUIRED	REQUIRED		False		
EBSCOhost	https://sushi.ebscohost.com/R5/reports	REQUIRED	REQUIRED			False	Converted to COUNTER 5 back to 2018	
Edinburgh University Press	https://www.euppublishing.com/reports	REQUIRED				False		
EDP Sciences (Astronomy and Astrophysics)						True		
Edward Elgar Publishing	https:/ams.elgaronline.com/rest/COUNTER/v5/reports	REQUIRED			REQUIRED	True	Manual COUNTER 5 import;  info@e-elgar.co.uk	
Elsevier Engineering Village	https://api.elsevier.com/sushi/reports	REQUIRED	REQUIRED		ev	False	Checks IP range must be on campus; also have to re-run every new report - always error on first try	
Elsevier Scopus	https://api.elsevier.com/sushi/reports	REQUIRED	REQUIRED		sc	False	Checks IP range must be on campus; also have to re-run every new report - always error on first try	
Elsevier ScienceDirect	https://api.elsevier.com/sushi/reports	REQUIRED	REQUIRED		sd	False	Checks IP range must be on campus; also have to re-run every new report - always error on first try	
Emerald Insight	https://connect.liblynx.com/sushi/r5/reports	REQUIRED	REQUIRED	REQUIRED		False		Liblynx
EMS (European Mathematical Society)						True	Counter 4 only for import conversion; JR1:R3	
Endocrine Society Journals						True	Counter 4 only for import conversion; BR2, JR5, JR1GOA, JR1, PR1, JR1a, BR3	
Families in Society						True	Counter 4 only for import conversion; BR2, JR5, JR1GOA, JR1, PR1, BR3	
FASEB	https://www.fasebj.org/reports	REQUIRED				False		
Future Medicine	https://www.futuremedicine.com/reports	REQUIRED				False		
Future Science						True	Counter 4 only for import conversion; JR5, JR1GOA, JR1, PR1	
Gale	https://sushi5.galegroup.com/sushi/reports	REQUIRED	REQUIRED			False		
GeoscienceWorld	https://sitemaster.geoscienceworld.org/sushi/reports	REQUIRED	REQUIRED	REQUIRED		False		Silverchair
Guilford Press	https://guilfordjournals.com/reports	REQUIRED				False		
Hanser						True	Counter 4 only for import conversion; BR2, JR5, JR1, PR1, BR3	
Harvard Education Publishing Group	https://hepgjournals.org/reports	REQUIRED				False		Atypon
Health Affairs	https://www.healthaffairs.org/reports	REQUIRED				False		
HighWire Press	https://hwdpapi.highwire.org/sushi/reports	REQUIRED	REQUIRED	REQUIRED		False	"API key is the institution's primary e-mail address associated with the HighWire Portal account, followed by ""|"", and then the portal password. For example, 
API key: user@highwire.org|Us3rPW
Requester ID: user/email account registered with HighWire
Customer ID: user/email account registered with HighWire"	
Hogrefe						True	Counter 4 only for import conversion; JR5, JR1GOA, JR1, PR1	
Human Kinetics						True	Counter 4 only for import conversion; JR5, JR1GOA, JR1, PR1	
ICE Virtual Library (Institution of Civil Engineers)	https://www.icevirtuallibrary.com/reports	REQUIRED				False		
Idunn						True	Counter 4 only for import conversion; JR5, JR1GOA, JR1, PR1	
IEEE Xplore	https://c5sushi.mpsinsight.com/c5sushi/services/reports	REQUIRED		REQUIRED		False		MPS Insight
IET (Institution of Engineering and Technology)						True	Counter 4 only for import conversion; BR2, JR5, JR1GOA, JR1, BR1, PR1, BR3	
IGI Global	https://sushi5.igi-global.com/reports	REQUIRED	REQUIRED			True	As of April 2020 SUSHI server not compliant, use manual download/import	
IMF (International Monetary Fund)						True	Counter 4 only for import conversion; DB1	
INA (Irish Newspaper Archives)						True		
Inderscience	https://inderscienceonline.com/reports	REQUIRED				False		
Informit						True	Counter 4 only for import conversion; BR2, JR5, JR1, BR1	
INFORMS	https://pubsonline.informs.org/reports	REQUIRED				False		
Ingentaconnect	https://www.ingentaconnect.com/sushiadmin/statistics/sushi/reports	REQUIRED	REQUIRED			False	Ingenta Connect hosts journals for various publishers	
IOS Press - CAB Journals & eBooks						True		
IOS Press (formerly MetaPress)						True	Counter 4 only for import conversion; BR2, JR1, BR1, DB1, PR1, BR3	
John Benjamins						True	Counter 4 only for import conversion; JR5, JR1GOA, JR1, PR1, BR3	
Journal of Clinical Psychiatry						True		
Journal of Coastal research						True	Counter 4 only for import conversion; JR5, JR1GOA, JR1, PR1, BR3	
Journal of Graduate Medical Education						True	Counter 4 only for import conversion; JR1	
Journal of Marketing Research						True	Counter 4 only for import conversion; JR5, JR1GOA, JR1, PR1, BR3	
Journal of Neurosurgery (JNS)	https://ams.thejns.org/rest/COUNTER/v5/reports	REQUIRED				False		
Journal of Oral Implantology						True	Counter 4 only for import conversion; BR2, JR5, JR1GOA, JR1, PR1, BR3	
Journal of Orthopaedic & Sports Physical Therapy (JOSPT)	https://www.jospt.org/reports	REQUIRED				False		
Journal of Parasitology						True	Counter 4 only for import conversion; BR2, JR5, JR1GOA, JR1, PR1, BR3	
Journal of Periodontology Online						True	Counter 4 only for import conversion; JR5, JR1, PR1	
Journal of Studies on Alcohol and Drugs / Rutgers University Press (JSAD)	https://www.jsad.com/reports	REQUIRED				False		
Journal of the Physical Society of Japan						True	Counter 4 only for import conversion; BR2, JR5, JR1GOA, JR1, PR1, BR3	
JSTOR	https://www.jstor.org/sushi/reports	REQUIRED	REQUIRED			False	Books and Journals	
Karger	https://counter.karger.com/reports	REQUIRED				False		
Kluwer Law International						True		
Liverpool University Press	https://online.liverpooluniversitypress.co.uk/reports	REQUIRED				False		
Mark Allen Group	https://www.magonlinelibrary.com/reports	REQUIRED	REQUIRED			False		Atypon
Mary Ann Liebert	https://www.liebertpub.com/reports	REQUIRED	REQUIRED			False		Atypon
MathSciNet (American Mathematical Society)	https://mathscinet.ams.org/counter/r5/reports	REQUIRED		REQUIRED		False		
McGraw-Hill	https://www.mhebooklibrary.com/reports	REQUIRED				False		
MGG Online	https://www.mgg-online.com/mgg/sushi/reports	REQUIRED				False		
Microbiology Society						True	Counter 4 only for import conversion; C5 but not sushi yet as of March 2020	
Military Medicine						True	Counter 4 only for import conversion; JR5, JR1GOA, JR1, PR1	
MIT Press	https://www.mitpressjournals.org/reports	REQUIRED	REQUIRED			False		Atypon
MLA (Modern Language Association)						True	Counter 4 only for import conversion; JR5, JR1GOA, JR1, PR1	
Morgan and Claypook Publishers	https://www.morganclaypool.com/reports	REQUIRED				False		
NEJM (New England Journal of Medicine)	https://www.nejm.org/reports	REQUIRED				False		
Newsbank	https://stats.newsbank.com/sushi_r5/servlet/reports	REQUIRED				False		
NRC Press	https://www.nrcresearchpress.com/reports	REQUIRED				False		
OECD iLibrary	https://www.oecd-ilibrary.org/counter5/sushi/reports	REQUIRED				False		
OSA InfoBase (Optics InfoBase)						True		
Ovid	https://stats.ovid.com/C5/sushi/reports	REQUIRED	REQUIRED			False		
Oxford (Books)	https://sushi5.scholarlyiq.com/counter/r5/reports	REQUIRED	REQUIRED			False		ScholarlyIQ
Oxford (Journals)	https://sushi5.scholarlyiq.com/counter/r5/reports	REQUIRED	REQUIRED			False		ScholarlyIQ
Philosophy Documentation Centre	https://sushi5.scholarlyiq.com/counter/r5/reports	REQUIRED	REQUIRED			False		ScholarlyIQ
Physical Society of Japan	https://journals.jps.jp/reports	REQUIRED				False		
Physicians Postgraduate Press						True		
Practical Action Publishing						True	Counter 4 only for import conversion; JR1, PR1, JR2, BR2, BR3	
Professional School Counseling						True	Counter 4 only for import conversion; BR2, JR5, JR1GOA, JR1, PR1, BR3	
Project HOPE (Health Affairs)	https://hope.atyponinsights.com/counter5/reports	REQUIRED				False		Atypon
Project MUSE	https://about.muse.jhu.edu/lib/counter5/sushi/reports	REQUIRED		REQUIRED		False		
ProQuest	https://sushi.proquest.com/counter/r5/reports	REQUIRED		REQUIRED		False		
ProQuest Ebook Central	https://pqbi.prod.proquest.com/release/sushi/ebooks/r5/reports	REQUIRED	REQUIRED			True	As of April 2020, SUSHI server not providing reliable data (reported to Project COUNTER) so consider this one non-SUSHI until reported fixed.	
Psychiatry Online						True	Counter 4 only for import conversion; BR2, JR5, JR1GOA, JR1, BR1, JR1a, PR1, BR3	
Radiation Research						True	Counter 4 only for import conversion; BR2, JR5, JR1GOA, JR1, PR1, BR3	
RCN (Royal College of Nursing)						True		
Royal College of Surgeons of England						True	Counter 4 only for import conversion; JR1, PR1	
Royal Society	https://royalsocietypublishing.org/reports	REQUIRED				False		
Royal Society of Chemistry	https://c5sushi.mpsinsight.com/c5sushi/services/reports	REQUIRED		REQUIRED		False		
RSNA (Radiological Society of North America)	https://pubs.rsna.org/reports	REQUIRED				False		
SAGE Ebooks (Sage SecureCenter)	https://securecenter.sagepub.com/SushiService/reports		REQUIRED			False		
SAGE Journals	https://journals.sagepub.com/reports	REQUIRED	REQUIRED			False		
Science Societies						True		
Scitation - AIP (American Institute of Physics)	https://www.scitation.org/reports	REQUIRED				False		
SEG (Society of Exploration Geophysicists)						True	Counter 4 only for import conversion; BR2, JR5, JR1GOA, JR1, PR1, BR3	
SFAA (Society for Applied Anthropology)						True	Counter 4 only for import conversion; JR5, JR1GOA, JR1, PR1, BR3	
SIAM (Society for Industrial and Applied Mathematics)	https://epubs.siam.org/reports	REQUIRED				False		
Society of Exploration Geophysicists	https://library.seg.org/reports	REQUIRED				False		
SPIE (Society of Photo-Optical Instrumentation Engineers)						True		
Springer Nature	https://counter.public.springernature.app/reports	REQUIRED		REQUIRED		False		
Taylor & Francis Ebooks (Books)	https://api.taylorandfrancis.com/v2/counterreports/reports	REQUIRED				False		
Taylor & Francis Online (Journals)	https://www.tandfonline.com/reports	REQUIRED	REQUIRED			False		
The Cleft Palate - Craniofacial Journal						True	Counter 4 only for import conversion; JR5, JR1GOA, JR1, PR1, BR3	
Thieme Planta Medica						True	Counter 4 only for import conversion; JR5, JR1GOA, JR1, PR1	
Transportation Research Board						True	Counter 4 only for import conversion; JR5, JR1, PR1, BR3	
UCLA Journals	https://uclajournals.org/reports	REQUIRED				False		
University of Chicago Press	https://www.journals.uchicago.edu/reports	REQUIRED	REQUIRED			False		
University of Texas Press						True	Counter 4 only for import conversion; JR1	
University of Toronto Press	https://www.utpjournals.press/reports	REQUIRED	REQUIRED			False		
UNWTO (United Nations World Tourism Organization)						True	Counter 4 only for import conversion; BR2, JR5, JR1, PR1	
Vandenhoeck & Ruprecht	https://www.vr-elibrary.de/reports	REQUIRED				False		
Wageningen Academic Publishers						True	Counter 4 only for import conversion; BR2, JR5, JR1GOA, JR1, PR1, BR3	
Wiley Online Library	https://onlinelibrary.wiley.com/reports	REQUIRED	REQUIRED			False	Books and journals	Atypon
World Bank	https://elibrary.worldbank.org/reports	REQUIRED				False		
World Scientific	https://www.worldscientific.com/reports	REQUIRED				False		
